Vrsta aktivnosti,Datum,Favorit,Naslov,Udaljenost,Kalorije,Vrijeme,Prosječni puls,Maksimalni puls,Aerobno TE,Prosječna kadenca trčanja,Maksimalna kadenca trčanja,Prosječan tempo,Najbolji tempo,Ukupni uspon,Ukupni silazak,Prosječna dužina koraka,Prosječan omjer vertikalne oscilacije,Prosječna okomita oscilacija,Prosječno vrijeme dodira s tlom,Prosječan balans za VDT,Prosječni tempo prilagođen nagibu,Prosječna kadenca trčanja,Maksimalna kadenca trčanja,Normalized Power® (NP®),Balans lijevo/desno,Training Stress Score®,Maksimalna prosječna snaga (20 min),Prosječna snaga,Maksimalna snaga,Težina,Tok,Ukupno zaveslaja,Prosječan Swolf,Prosječna brzina zaveslaja,Ukupno ponavljanja,Vrijeme ronjenja,Minimalna temperatura,Interval na površini,Dekompresija,Vrijeme najbolje dionice,Broj dionica,Maksimalna temperatura,Vrijeme kretanja,Proteklo vrijeme,Min. nadmorska visina,Maks. nadmorska visina
Dvoranski biciklizam,2024-02-28 17:37:19,false,"Base","29.50","619","00:51:03","123","140","2.5","--","--","34.7","36.6","--","--","0.00","0.0","0.0","0","--","--","80","134","180","--","80.5","183","179","287","0.0","0.0","4093","0","0","0","0:00","0.0","0:00","Ne","00:02.92","7","0.0","00:50:56","00:53:20","--","--"
Trčanje,2024-02-27 17:22:59,false,"Porec Trčanje","5.20","337","00:26:34","141","152","2.6","167","180","5:07","4:38","57","56","1.16","8.3","9.7","256","--","5:05","--","--","320","--","0.0","--","316","385","0.0","0.0","--","0","0","0","0:00","0.0","0:00","Ne","00:59.25","6","0.0","00:26:31","00:26:34","50","106"
Trčanje,2024-02-25 11:42:15,false,"Porec Trčanje","2.80","192","00:14:44","148","169","2.2","167","174","5:16","4:53","14","7","1.13","8.4","9.5","257","--","5:13","--","--","311","--","0.0","--","308","413","0.0","0.0","--","0","0","0","0:00","0.0","0:00","Ne","04:12.59","3","0.0","00:14:40","00:14:52","5","16"
Trčanje,2024-02-25 11:00:16,false,"Porec Trčanje","7.22","451","00:28:36","173","184","3.9","174","199","3:58","3:01","66","69","1.44","7.0","10.1","223","--","3:56","--","--","408","--","0.0","--","402","526","0.0","0.0","--","0","0","0","0:00","0.0","0:00","Ne","00:49.91","8","0.0","00:28:32","00:28:36","5","30"
Skijanje na dasci,2024-02-24 12:55:35,false,"Bohinj Skijanje na dasci","14.24","751","02:46:55","94","148","0.6","--","--","8.9","50.0","1,826","1,852","0.00","0.0","0.0","0","--","--","--","--","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","Ne","03:58.58","12","0.0","01:52:10","02:58:35","1,490","1,682"
Dvoranski biciklizam,2024-02-23 19:49:54,false,"Base","34.23","683","01:02:12","124","141","2.5","--","--","33.0","35.2","--","--","0.00","0.0","0.0","0","--","--","88","137","161","--","78.3","163","160","265","0.0","0.0","5498","0","0","0","0:00","0.0","0:00","Ne","07:35.65","7","0.0","01:02:11","01:02:12","--","--"
Trčanje,2024-02-22 17:17:00,false,"Rijeka Trčanje","10.29","677","00:54:12","147","174","3.3","165","186","5:16","4:14","270","278","1.14","8.4","9.4","257","--","4:57","--","--","350","--","0.0","--","319","546","0.0","0.0","--","0","0","0","0:00","0.0","0:00","Ne","01:00.94","19","0.0","00:53:58","01:01:47","27","127"
Trčanje,2024-02-20 16:44:31,false,"Rijeka - 5x6min","12.01","741","00:55:35","148","175","3.8","159","192","4:38","3:20","74","107","1.32","7.4","9.7","233","--","4:37","--","--","368","--","0.0","--","333","562","0.0","0.0","--","0","0","0","0:00","0.0","0:00","Ne","00:10.37","20","0.0","00:54:35","01:09:43","3","117"
Trčanje,2024-02-19 17:17:14,false,"Rijeka Trčanje","8.33","515","00:41:00","141","158","3.0","167","176","4:55","4:08","109","129","1.21","8.1","9.7","251","--","4:53","--","--","336","--","0.0","--","329","457","0.0","0.0","--","0","0","0","0:00","0.0","0:00","Ne","01:50.29","9","0.0","00:40:48","00:45:45","46","133"
Terensko trčanje,2024-02-17 10:00:11,false,"Brtonigla Terensko trčanje","27.79","2,399","04:34:12","141","168","4.3","94","248","9:52","4:08","788","793","1.01","8.5","8.1","273","--","9:31","--","--","242","--","0.0","--","150","564","0.0","0.0","--","0","0","0","0:00","0.0","0:00","Ne","02:56.71","29","0.0","03:25:26","04:34:17","7","183"
Trčanje,2024-02-16 16:31:08,false,"Porec Trčanje","5.31","336","00:25:52","143","155","2.7","168","176","4:52","4:18","64","60","1.21","8.0","9.7","250","--","4:50","--","--","337","--","0.0","--","331","438","0.0","0.0","--","0","0","0","0:00","0.0","0:00","Ne","01:25.11","6","0.0","00:25:49","00:26:22","86","137"
Dvoranski biciklizam,2024-02-14 17:59:29,false,"bicikla 5×6min","27.96","664","01:00:01","128","151","2.8","--","--","28.0","32.4","--","--","0.00","0.0","0.0","0","--","--","83","128","179","--","93.5","187","161","325","0.0","0.0","4784","0","0","0","0:00","0.0","0:00","Ne","00:01.21","13","0.0","00:57:52","01:00:01","--","--"
Trčanje,2024-02-13 16:28:58,false,"Rijeka Trčanje","8.31","557","00:43:44","150","175","3.3","165","186","5:16","4:15","240","253","1.14","8.4","9.5","257","--","4:59","--","--","367","--","0.0","--","321","595","0.0","0.0","--","0","0","0","0:00","0.0","0:00","Ne","00:52.22","20","0.0","00:43:28","00:48:17","106","205"
Trčanje,2024-02-10 10:17:47,false,"Rijeka Trčanje","14.24","971","01:17:27","150","175","3.9","167","198","5:26","4:18","423","397","1.09","8.6","9.2","260","--","5:06","--","--","336","--","0.0","--","316","459","0.0","0.0","--","0","0","0","0:00","0.0","0:00","Ne","01:29.01","15","0.0","01:17:05","01:25:13","5","278"
Trčanje,2024-02-08 17:03:53,false,"Rijeka Trčanje","10.14","656","00:50:02","149","168","3.3","166","186","4:56","4:00","193","201","1.21","8.1","9.8","253","--","4:48","--","--","351","--","0.0","--","335","529","0.0","0.0","--","0","0","0","0:00","0.0","0:00","Ne","00:42.48","11","0.0","00:49:51","00:51:59","45","206"
Trčanje,2024-02-06 11:44:46,false,"Porec Trčanje","8.00","494","00:38:40","142","158","3.0","168","174","4:50","4:15","93","92","1.22","8.0","9.8","250","--","4:47","--","--","341","--","0.0","--","337","435","0.0","0.0","--","0","0","0","0:00","0.0","0:00","Ne","00:01.12","9","0.0","00:38:38","00:39:24","55","100"
Trčanje,2024-02-04 11:00:28,false,"Pican Trčanje","5.93","336","00:22:10","165","181","3.4","175","191","3:44","3:09","36","35","1.52","6.7","10.3","216","--","3:44","--","--","422","--","0.0","--","418","495","0.0","0.0","--","0","0","0","0:00","0.0","0:00","Ne","03:23.74","6","0.0","00:22:08","00:22:10","27","40"
Trčanje,2024-02-03 13:42:50,false,"Tinjan Trčanje","10.97","685","00:53:37","145","162","3.2","167","178","4:53","4:10","134","130","1.21","8.1","9.8","251","--","4:50","--","--","337","--","0.0","--","333","476","0.0","0.0","--","0","0","0","0:00","0.0","0:00","Ne","01:51.42","12","0.0","00:53:32","01:04:14","264","336"
Dvoranski biciklizam,2024-02-02 20:09:56,false,"Base","34.11","757","01:07:03","123","136","2.5","--","--","30.5","33.3","--","--","0.00","0.0","0.0","0","--","--","87","132","164","--","88.7","164","165","308","0.0","0.0","5892","0","0","0","0:00","0.0","0:00","Ne","00:02.63","8","0.0","01:06:59","01:14:03","--","--"
Trčanje,2024-01-31 12:47:25,false,"Rijeka - Threshold","9.34","578","00:41:06","154","179","3.7","168","186","4:24","3:46","61","89","1.34","7.6","10.1","239","--","4:23","--","--","368","--","0.0","--","361","515","0.0","0.0","--","0","0","0","0:00","0.0","0:00","Ne","00:05.61","12","0.0","00:40:56","00:49:48","23","117"
Trčanje,2024-01-30 16:19:05,false,"Rijeka Trčanje","7.14","488","00:38:32","150","174","3.2","163","186","5:24","4:14","258","262","1.12","8.5","9.5","261","--","5:01","--","--","361","--","0.0","--","317","582","0.0","0.0","--","0","0","0","0:00","0.0","0:00","Ne","00:02.64","17","0.0","00:38:22","00:46:27","106","221"
Dvoranski biciklizam,2024-01-28 12:23:05,false,"Base","35.11","688","01:08:04","121","133","2.5","--","--","30.9","33.2","--","--","0.00","0.0","0.0","0","--","--","91","156","146","--","70.5","146","145","261","0.0","0.0","6239","0","0","0","0:00","0.0","0:00","Ne","00:04.41","9","0.0","01:08:02","01:08:04","--","--"
